RepRapFirmware height map file v2 generated at 2019-06-25 16:03, min error -0.565, max error 0.858, mean 0.102, deviation 0.357
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
25.00,195.00,0.00,195.00,-1.00,25.00,25.00,7,8
 -0.565, -0.408, -0.235, -0.047,  0.154,  0.350,  0.539
 -0.520, -0.377, -0.204, -0.018,  0.167,  0.348,  0.520
 -0.492, -0.335, -0.173,  0.005,  0.180,  0.345,  0.510
 -0.437, -0.290, -0.131,  0.031,  0.222,  0.397,  0.557
 -0.369, -0.233, -0.084,  0.076,  0.248,  0.431,  0.599
 -0.301, -0.160, -0.018,  0.136,  0.306,  0.486,  0.646
 -0.225, -0.094,  0.044,  0.201,  0.379,  0.552,  0.724
 -0.133, -0.003,  0.139,  0.298,  0.479,  0.620,  0.858
